Date,Open,High,Low,Close,Volume
2016-02-01,372.3,372.5,360.01,364.99,227780
2016-02-01,364.99,367.6,364.99,366.88,101786
2016-02-01,366.88,368.0,365.42,367.52,75217
2016-02-01,367.52,371.0,367.31,370.68,136003
2016-02-01,370.68,376.56,369.88,374.5,267428
2016-02-01,374.5,376.71,373.16,373.16,206974
2016-02-01,373.16,374.58,373.0,373.03,33312
2016-02-01,373.03,374.74,373.16,373.5,13441
2016-02-01,373.5,373.94,373.07,373.93,764
2016-02-01,373.93,373.94,373.0,373.05,14817
2016-02-01,373.05,373.0,371.0,371.95,9269
2016-02-01,371.95,378.56,371.0,375.5,272670
2016-02-01,375.5,376.81,375.0,375.9,139204
2016-02-01,375.9,377.03,375.65,375.84,122266
2016-02-01,375.84,375.94,375.51,375.94,2107
2016-02-01,375.94,375.4,372.64,373.12,34412
2016-02-01,373.12,373.65,372.39,373.37,2703
2016-02-01,373.37,374.09,372.93,372.93,2087
2016-02-01,372.93,373.4,371.0,373.4,46812
2016-02-01,373.4,373.03,371.0,371.0,7107
2016-02-01,371.0,371.96,369.0,371.05,41260
2016-02-01,371.05,371.12,369.0,369.5,41371
2016-02-01,369.5,370.15,369.6,370.15,4493
2016-02-01,370.15,371.42,369.99,370.84,36173
2016-02-02,370.84,371.62,371.5,371.62,3253
2016-02-02,371.62,373.75,371.95,372.43,37162
2016-02-02,372.43,372.12,371.07,371.62,11770
2016-02-02,371.62,373.0,369.99,373.0,16542
2016-02-02,373.0,372.1,372.04,372.04,1000
2016-02-02,372.04,372.74,371.45,372.73,9889
2016-02-02,372.73,376.1,372.73,376.0,68148
2016-02-02,376.0,376.13,373.23,373.23,26458
2016-02-02,373.23,373.58,373.57,373.58,1023
2016-02-02,373.58,373.82,372.91,373.82,2604
2016-02-02,373.82,373.17,371.96,371.96,7530
2016-02-02,371.96,372.18,371.25,372.18,4323
2016-02-02,372.18,372.27,371.0,371.4,91013
2016-02-02,371.4,372.07,371.03,371.5,13174
2016-02-02,371.5,373.69,371.89,372.92,2887
2016-02-02,372.92,373.13,372.52,373.11,1954
2016-02-02,373.11,374.0,372.79,374.0,7526
2016-02-02,374.0,376.0,372.67,373.5,20720
2016-02-02,373.5,373.29,373.29,373.29,50
2016-02-02,373.29,373.5,373.0,373.0,4400
2016-02-02,373.0,374.17,373.15,373.68,16116
2016-02-02,373.68,373.96,371.5,373.7,27632
2016-02-02,373.7,374.35,373.33,373.47,54900
2016-02-02,373.47,374.4,373.35,373.75,49872
2016-02-03,373.75,373.37,372.14,372.69,59389
2016-02-03,372.69,373.9,372.4,372.9,47175
2016-02-03,372.9,373.67,372.73,373.39,31404
2016-02-03,373.39,373.5,372.69,372.99,20614
2016-02-03,372.99,372.9,367.65,372.6,159073
2016-02-03,372.6,373.1,371.81,371.93,74285
2016-02-03,371.93,372.52,371.16,372.0,56717
2016-02-03,372.0,372.4,370.75,372.36,94161
2016-02-03,372.36,373.33,371.62,372.0,57071
2016-02-03,372.0,373.51,371.69,373.5,40631
2016-02-03,373.5,373.5,371.96,371.99,22839
2016-02-03,371.99,372.92,371.61,372.37,27901
2016-02-03,372.37,371.63,365.71,370.92,89852
2016-02-03,370.92,372.95,367.93,372.14,79177
2016-02-03,372.14,371.75,371.5,371.5,252
