Date,Open,High,Low,Close,Volume
2019-06-16,8846.0,8846.0,8836.0,8837.0,1092203
2019-06-16,8837.0,8837.0,8834.5,8834.5,684059
2019-06-16,8834.5,8834.5,8832.5,8833.5,443215
2019-06-16,8833.5,8841.5,8833.5,8841.5,1069381
2019-06-16,8841.5,8845.5,8841.5,8844.5,1100586
2019-06-16,8844.5,8845.0,8844.5,8845.0,669300
2019-06-16,8845.0,8845.0,8844.5,8844.5,480838
2019-06-16,8844.5,8845.0,8841.5,8841.5,367294
2019-06-16,8841.5,8841.5,8838.0,8838.0,582355
2019-06-16,8838.0,8838.5,8838.0,8838.0,115344
2019-06-16,8838.0,8838.5,8838.0,8838.0,247559
2019-06-16,8838.0,8838.5,8836.0,8836.0,246397
2019-06-16,8836.0,8836.0,8828.5,8829.0,1464961
2019-06-16,8829.0,8829.0,8828.5,8829.0,245374
2019-06-16,8829.0,8831.0,8828.5,8831.0,707801
2019-06-16,8831.0,8832.5,8830.5,8832.5,403066
2019-06-16,8832.5,8833.0,8832.0,8833.0,182050
2019-06-16,8833.0,8834.0,8828.5,8828.5,562437
2019-06-16,8828.5,8828.5,8825.5,8826.0,646424
2019-06-16,8826.0,8828.0,8825.5,8828.0,774999
2019-06-16,8828.0,8828.5,8827.5,8828.5,324699
2019-06-16,8828.5,8828.5,8825.0,8825.0,642047
2019-06-16,8825.0,8825.5,8824.0,8824.0,506940
2019-06-16,8824.0,8824.5,8824.0,8824.5,175261
2019-06-16,8824.5,8824.5,8824.0,8824.0,113848
2019-06-16,8824.0,8824.5,8824.0,8824.0,139830
2019-06-16,8824.0,8824.5,8824.0,8824.5,367189
2019-06-16,8824.5,8827.0,8824.0,8827.0,843173
2019-06-16,8827.0,8830.0,8827.0,8830.0,1088974
2019-06-16,8830.0,8840.5,8830.0,8840.5,4399461
2019-06-16,8840.5,8860.0,8840.5,8859.5,7506249
2019-06-16,8859.5,8860.0,8848.5,8850.5,1869878
2019-06-16,8850.5,8856.0,8850.0,8855.0,1264945
2019-06-16,8855.0,8868.0,8855.0,8868.0,3892322
2019-06-16,8868.0,8873.0,8867.5,8873.0,2791082
2019-06-16,8873.0,8873.0,8872.5,8872.5,1945346
2019-06-16,8872.5,8888.5,8872.5,8888.5,8257404
2019-06-16,8888.5,8905.5,8872.5,8905.5,13252995
2019-06-16,8905.5,8974.0,8902.5,8925.0,42758324
2019-06-16,8925.0,8968.0,8920.0,8949.0,14700553
2019-06-16,8949.0,8992.0,8948.5,8989.5,26441616
2019-06-16,8989.5,8990.5,8948.5,8962.5,16196916
2019-06-16,8962.5,8966.5,8953.5,8963.5,5390823
2019-06-16,8963.5,8979.0,8960.5,8974.0,8851376
2019-06-16,8974.0,8974.5,8959.0,8964.0,6751250
2019-06-16,8964.0,8970.0,8964.0,8969.0,3039560
2019-06-16,8969.0,8969.5,8948.5,8969.0,7540500
2019-06-16,8969.0,9018.5,8969.5,9018.5,18355486
2019-06-16,9018.5,9023.0,8951.5,8960.0,20196258
2019-06-16,8960.0,9017.0,8960.0,8985.0,11021026
2019-06-16,8985.0,9008.5,8985.0,8987.5,7807024
2019-06-16,8987.5,9000.5,8987.0,8991.5,3935095
2019-06-16,8991.5,8996.5,8961.5,8961.5,7051734
2019-06-16,8961.5,8980.0,8960.0,8973.0,7094123
2019-06-16,8973.0,8983.0,8968.5,8983.0,2796600
2019-06-16,8983.0,8993.0,8978.0,8985.5,4755517
2019-06-16,8985.5,8999.0,8980.0,8980.0,6248241
2019-06-16,8980.0,8986.0,8980.0,8980.5,1793058
2019-06-16,8980.5,8983.0,8980.0,8983.0,1354360
2019-06-16,8983.0,9018.0,8982.5,9017.5,11571378
2019-06-16,9017.5,9038.0,8990.0,9009.5,18999212
2019-06-16,9009.5,9038.5,9009.5,9033.5,9113130
2019-06-16,9033.5,9033.5,9019.5,9027.5,6070094
2019-06-16,9027.5,9033.0,9020.0,9029.5,6902320
2019-06-16,9029.5,9054.5,9025.5,9035.5,18835760
2019-06-16,9035.5,9035.5,9004.0,9024.0,10586146
2019-06-16,9024.0,9029.5,9024.0,9024.5,5434840
2019-06-16,9024.5,9029.0,9018.0,9028.5,3541616
2019-06-16,9028.5,9028.5,9012.0,9012.0,5287998
2019-06-16,9012.0,9021.0,9012.0,9016.0,4965774
2019-06-16,9016.0,9016.5,8992.5,8992.5,12890266
2019-06-16,8992.5,9004.5,8984.5,9000.0,8101943
2019-06-16,9000.0,9000.0,8978.5,8990.0,8768490
2019-06-16,8990.0,8990.0,8980.0,8990.0,3269288
2019-06-16,8990.0,8990.0,8978.0,8978.5,4315520
2019-06-16,9318.5,9319.5,9244.0,9281.0,45901927
2019-06-16,9281.0,9300.0,9281.0,9300.0,11209883
2019-06-16,9300.0,9308.0,9295.0,9295.0,8816480
2019-06-16,9295.0,9295.5,9278.0,9284.5,7247309
2019-06-16,9284.5,9285.0,9248.5,9248.5,13430680
2019-06-16,9248.5,9250.5,9010.0,9076.5,87268513
2019-06-16,9076.5,9082.5,8874.0,8946.5,76765917
2019-06-16,8946.5,9045.0,8805.0,9029.0,59654017
2019-06-16,9029.0,9077.0,9000.0,9075.0,23653332
2019-06-16,9075.0,9127.0,9075.0,9120.0,36098216
2019-06-16,9120.0,9137.0,9087.5,9093.0,23624417
2019-06-16,9093.0,9097.5,9070.5,9097.0,17942826
2019-06-16,9097.0,9150.0,9097.0,9150.0,17402525
2019-06-16,9150.0,9150.0,9136.0,9148.0,11880777
2019-06-16,9148.0,9150.0,9120.5,9120.5,7777478
2019-06-16,9120.5,9128.5,9100.0,9104.5,11645471
2019-06-16,9104.5,9144.5,9104.0,9144.5,7284520
2019-06-16,9144.5,9145.0,9118.5,9140.5,8547942
2019-06-16,9140.5,9140.5,9120.0,9128.5,5395972
2019-06-16,9128.5,9128.5,9075.5,9076.0,11321193
2019-06-16,9076.0,9111.5,9058.0,9084.0,18363975
2019-06-16,9084.0,9120.0,9083.5,9110.0,8391928
2019-06-16,9110.0,9122.0,9100.0,9121.5,8900956
2019-06-16,9121.5,9123.0,9110.0,9113.5,5040327
2019-06-16,9113.5,9121.0,9113.0,9119.0,5902094
2019-06-16,9119.0,9119.0,9101.5,9107.5,5400848
2019-06-16,9107.5,9120.0,9107.0,9119.5,5337706
2019-06-16,9119.5,9133.0,9119.0,9132.5,4348352
2019-06-16,9132.5,9139.5,9128.0,9137.5,5754306
2019-06-16,9137.5,9149.5,9136.0,9146.0,7836325
2019-06-16,9146.0,9167.0,9145.5,9160.5,11100517
