Date,Open,High,Low,Close,Volume
30032018 1900,"114.29000000","115.47000000","112.00000000","114.60000000","14643.38957000"
30032018 2000,"114.56000000","115.50000000","113.92000000","114.95000000","5468.54027000"
30032018 2100,"114.97000000","116.49000000","114.29000000","115.63000000","7289.67389000"
30032018 2200,"115.63000000","118.48000000","114.38000000","117.20000000","8226.49748000"
30032018 2300,"117.19000000","120.59000000","117.10000000","119.65000000","10314.86104000"
31032018 0000,"119.64000000","119.64000000","115.51000000","116.58000000","10740.99451000"
31032018 0100,"116.70000000","119.38000000","115.63000000","118.35000000","7317.81431000"
31032018 0200,"118.10000000","122.56000000","118.10000000","120.90000000","11182.06210000"
31032018 0300,"121.06000000","124.28000000","120.49000000","123.33000000","10682.30300000"
31032018 0400,"123.16000000","123.97000000","121.20000000","122.44000000","8117.82451000"
31032018 0500,"122.22000000","122.62000000","120.42000000","120.74000000","5202.72044000"
31032018 0600,"120.49000000","121.46000000","120.15000000","120.70000000","3651.31475000"
31032018 0700,"120.70000000","120.89000000","117.64000000","119.10000000","5733.69248000"
31032018 0800,"118.91000000","119.13000000","116.67000000","116.75000000","4860.85978000"
31032018 0900,"117.03000000","117.86000000","116.57000000","117.07000000","2394.87564000"
31032018 1000,"117.40000000","120.00000000","117.18000000","118.34000000","4606.92853000"
31032018 1100,"118.34000000","120.67000000","118.05000000","120.17000000","3755.66151000"
31032018 1200,"120.17000000","122.00000000","119.01000000","120.33000000","8937.41539000"
31032018 1300,"120.35000000","121.27000000","119.33000000","119.88000000","5704.58921000"
31032018 1400,"119.76000000","122.49000000","119.33000000","121.59000000","6201.37835000"
31032018 1500,"121.57000000","121.58000000","119.33000000","119.45000000","3957.13861000"
31032018 1600,"119.56000000","120.72000000","118.42000000","120.60000000","4228.01188000"
31032018 1700,"120.60000000","120.65000000","119.35000000","120.18000000","3492.13716000"
31032018 1800,"120.14000000","121.57000000","119.94000000","121.12000000","3918.46557000"
31032018 1900,"121.12000000","121.54000000","119.73000000","120.55000000","4899.77356000"
31032018 2000,"120.39000000","120.90000000","118.99000000","119.24000000","2903.20039000"
31032018 2100,"119.24000000","120.14000000","118.70000000","119.37000000","3769.47556000"
31032018 2200,"119.37000000","119.55000000","116.26000000","117.00000000","8656.94043000"
31032018 2300,"117.14000000","117.34000000","116.03000000","116.54000000","4864.31633000"
 1042018 0000,"116.54000000","117.05000000","116.16000000","116.59000000","1746.86369000"
 1042018 0100,"116.48000000","116.92000000","115.26000000","116.05000000","4769.83953000"
 1042018 0200,"116.05000000","118.38000000","116.05000000","116.72000000","2632.71272000"
 1042018 0300,"116.68000000","118.05000000","116.54000000","117.34000000","1981.47635000"
 1042018 0400,"117.37000000","117.66000000","115.50000000","116.32000000","2383.69477000"
 1042018 0500,"116.13000000","116.67000000","115.74000000","116.34000000","1139.95224000"
 1042018 0600,"116.13000000","117.14000000","116.09000000","116.38000000","2021.92421000"
 1042018 0700,"116.53000000","116.75000000","113.68000000","115.40000000","2734.26360000"
 1042018 0800,"115.57000000","115.57000000","113.27000000","114.04000000","3086.68765000"
 1042018 0900,"113.97000000","114.21000000","111.69000000","113.10000000","6127.49021000"
 1042018 1000,"113.00000000","113.50000000","112.21000000","112.43000000","2979.91378000"
 1042018 1100,"112.44000000","114.20000000","110.71000000","113.51000000","5317.88386000"
 1042018 1200,"113.51000000","113.77000000","111.99000000","112.55000000","2580.23168000"
 1042018 1300,"112.78000000","112.88000000","111.60000000","112.05000000","3574.33181000"
 1042018 1400,"112.02000000","113.20000000","111.72000000","112.41000000","2505.40523000"
 1042018 1500,"112.37000000","112.77000000","110.29000000","110.70000000","6210.80567000"
 1042018 1600,"110.70000000","111.48000000","109.03000000","109.94000000","8908.14086000"
 1042018 1700,"109.94000000","111.30000000","109.51000000","109.94000000","4067.63284000"
 1042018 1800,"109.94000000","117.00000000","109.70000000","115.00000000","21034.39664000"
 1042018 1900,"114.94000000","116.00000000","114.40000000","115.65000000","5837.45482000"
 1042018 2000,"115.65000000","115.99000000","113.45000000","114.51000000","6028.45901000"
 1042018 2100,"114.26000000","116.39000000","113.78000000","115.27000000","5694.80256000"
 1042018 2200,"115.13000000","116.75000000","114.02000000","115.00000000","7338.90975000"
 1042018 2300,"115.00000000","115.86000000","114.11000000","115.70000000","4003.48596000"
 2042018 0000,"115.71000000","115.90000000","113.95000000","114.28000000","2675.99356000"
 2042018 0100,"114.30000000","115.12000000","113.71000000","114.74000000","2343.83430000"
 2042018 0200,"114.97000000","117.40000000","113.54000000","116.50000000","6940.94710000"
 2042018 0300,"116.50000000","117.30000000","115.26000000","115.90000000","3975.06459000"
 2042018 0400,"115.89000000","118.72000000","115.85000000","118.41000000","3382.66260000"
 2042018 0500,"118.41000000","119.55000000","118.04000000","118.98000000","6357.50198000"
 2042018 0600,"118.83000000","119.38000000","115.90000000","117.33000000","4881.18273000"
 2042018 0700,"117.33000000","118.05000000","116.06000000","117.52000000","2446.89818000"
 2042018 0800,"117.77000000","118.49000000","117.05000000","117.52000000","2401.40801000"
 2042018 0900,"117.56000000","120.26000000","117.31000000","119.50000000","5116.39275000"
 2042018 1000,"119.50000000","120.40000000","119.01000000","120.15000000","2679.75388000"
 2042018 1100,"120.19000000","120.50000000","119.51000000","119.88000000","1954.97138000"
 2042018 1200,"119.88000000","120.54000000","118.61000000","120.28000000","2736.15144000"
 2042018 1300,"120.28000000","121.71000000","119.31000000","119.84000000","5089.44844000"
 2042018 1400,"119.82000000","120.50000000","118.49000000","119.44000000","4345.29958000"
 2042018 1500,"119.24000000","120.03000000","118.68000000","119.47000000","1755.23173000"
 2042018 1600,"119.31000000","119.50000000","117.02000000","117.88000000","4617.71200000"
 2042018 1700,"117.89000000","120.50000000","117.61000000","119.67000000","4517.20017000"
 2042018 1800,"119.50000000","120.14000000","119.06000000","119.86000000","3250.47412000"
 2042018 1900,"119.87000000","119.87000000","118.42000000","118.67000000","3099.27660000"
 2042018 2000,"118.66000000","119.00000000","118.10000000","118.22000000","2393.46729000"
 2042018 2100,"118.37000000","118.76000000","117.58000000","118.38000000","2830.43344000"
 2042018 2200,"118.22000000","118.25000000","116.41000000","117.36000000","5257.52158000"
