Date,Open,High,Low,Close,Volume
30032019 1900,"60.27000000","60.42000000","60.24000000","60.36000000","3442.34121000"
30032019 2000,"60.35000000","60.41000000","60.23000000","60.26000000","3224.33911000"
30032019 2100,"60.26000000","60.39000000","60.22000000","60.31000000","1698.12724000"
30032019 2200,"60.34000000","60.45000000","60.34000000","60.35000000","1105.98582000"
30032019 2300,"60.37000000","60.44000000","60.25000000","60.42000000","2165.92301000"
31032019 0000,"60.42000000","60.49000000","60.34000000","60.45000000","3812.01998000"
31032019 0100,"60.45000000","60.58000000","60.18000000","60.19000000","5554.31254000"
31032019 0300,"60.20000000","60.38000000","60.00000000","60.00000000","6311.53572000"
31032019 0400,"60.03000000","60.10000000","59.84000000","59.90000000","6126.21707000"
31032019 0500,"59.90000000","60.14000000","59.85000000","60.13000000","6575.75753000"
31032019 0600,"60.10000000","60.33000000","60.07000000","60.12000000","6656.99735000"
31032019 0700,"60.15000000","60.19000000","59.90000000","60.01000000","5860.04505000"
31032019 0800,"60.03000000","60.08000000","59.83000000","60.00000000","5073.99667000"
31032019 0900,"60.01000000","60.05000000","59.84000000","59.95000000","3252.85406000"
31032019 1000,"59.95000000","60.27000000","59.93000000","60.21000000","5647.69857000"
31032019 1100,"60.24000000","60.34000000","60.06000000","60.26000000","3466.47296000"
31032019 1200,"60.26000000","60.66000000","60.23000000","60.43000000","7519.47530000"
31032019 1300,"60.45000000","60.70000000","60.40000000","60.63000000","4476.67600000"
31032019 1400,"60.63000000","60.72000000","60.35000000","60.48000000","5826.71609000"
31032019 1500,"60.48000000","60.62000000","60.47000000","60.56000000","5269.54377000"
31032019 1600,"60.55000000","60.58000000","60.37000000","60.48000000","2261.45880000"
31032019 1700,"60.51000000","60.51000000","60.13000000","60.15000000","5605.33824000"
31032019 1800,"60.16000000","60.35000000","60.14000000","60.32000000","5900.15690000"
31032019 1900,"60.33000000","60.46000000","60.14000000","60.36000000","9678.56544000"
31032019 2000,"60.31000000","60.47000000","60.21000000","60.36000000","5146.17443000"
31032019 2100,"60.38000000","60.48000000","60.32000000","60.48000000","2764.94652000"
31032019 2200,"60.49000000","60.67000000","60.44000000","60.58000000","3151.62754000"
31032019 2300,"60.58000000","60.63000000","60.45000000","60.50000000","1907.68024000"
 1042019 0000,"60.49000000","60.60000000","60.38000000","60.58000000","2474.89948000"
 1042019 0100,"60.58000000","60.63000000","60.47000000","60.48000000","3506.71378000"
 1042019 0200,"60.47000000","60.61000000","60.01000000","60.49000000","10545.30825000"
 1042019 0300,"60.47000000","60.90000000","60.45000000","60.62000000","7735.70893000"
 1042019 0400,"60.60000000","60.79000000","60.58000000","60.73000000","5062.94958000"
 1042019 0500,"60.69000000","60.84000000","60.56000000","60.66000000","4610.68648000"
 1042019 0600,"60.67000000","60.73000000","60.57000000","60.60000000","2007.92615000"
 1042019 0700,"60.61000000","60.68000000","60.40000000","60.50000000","4483.32084000"
 1042019 0800,"60.50000000","60.72000000","60.41000000","60.64000000","3599.28196000"
 1042019 0900,"60.64000000","60.72000000","60.49000000","60.56000000","3102.96967000"
 1042019 1000,"60.56000000","60.66000000","60.40000000","60.61000000","3360.16543000"
 1042019 1100,"60.59000000","60.60000000","60.38000000","60.47000000","5305.60826000"
 1042019 1200,"60.45000000","60.55000000","60.35000000","60.35000000","3198.60030000"
 1042019 1300,"60.36000000","60.53000000","60.33000000","60.44000000","6234.36906000"
 1042019 1400,"60.43000000","60.67000000","60.39000000","60.55000000","7323.30333000"
 1042019 1500,"60.57000000","60.72000000","60.48000000","60.64000000","3166.92241000"
 1042019 1600,"60.62000000","60.71000000","60.32000000","60.34000000","6230.80343000"
 1042019 1700,"60.33000000","60.57000000","59.62000000","60.37000000","20039.86726000"
 1042019 1800,"60.35000000","60.45000000","60.29000000","60.32000000","6252.14770000"
 1042019 1900,"60.34000000","60.44000000","60.28000000","60.33000000","6592.08532000"
