Date,Open,High,Low,Close,Volume
 9102018 1600,"58.56000000","58.88000000","58.50000000","58.71000000","6518.95010000"
 9102018 1700,"58.72000000","58.88000000","58.69000000","58.78000000","6235.13652000"
 9102018 1800,"58.80000000","58.82000000","58.53000000","58.75000000","6144.73113000"
 9102018 1900,"58.74000000","58.90000000","58.72000000","58.88000000","5661.40386000"
 9102018 2000,"58.86000000","58.98000000","58.77000000","58.94000000","6484.56590000"
 9102018 2100,"58.93000000","59.03000000","58.63000000","58.74000000","7283.97405000"
 9102018 2200,"58.67000000","58.88000000","58.49000000","58.74000000","6062.01377000"
 9102018 2300,"58.75000000","58.85000000","58.54000000","58.74000000","5897.90010000"
10102018 0000,"58.72000000","59.16000000","58.69000000","59.15000000","6598.25477000"
10102018 0100,"59.13000000","59.19000000","58.97000000","59.03000000","5847.37369000"
10102018 0200,"59.02000000","59.18000000","58.66000000","58.78000000","5023.43936000"
10102018 0300,"58.78000000","58.83000000","58.52000000","58.72000000","5202.59856000"
10102018 0400,"58.72000000","58.78000000","58.52000000","58.55000000","5262.47800000"
10102018 0500,"58.56000000","58.60000000","57.65000000","58.00000000","14610.24201000"
10102018 0600,"58.01000000","58.15000000","57.75000000","57.81000000","6179.12737000"
10102018 0700,"57.80000000","57.89000000","57.40000000","57.68000000","9539.42975000"
10102018 0800,"57.64000000","58.03000000","57.37000000","57.94000000","7580.38867000"
10102018 0900,"57.93000000","57.94000000","57.69000000","57.91000000","5985.03231000"
10102018 1000,"57.89000000","57.99000000","57.71000000","57.95000000","6333.81403000"
10102018 1100,"57.95000000","58.19000000","57.80000000","57.95000000","7211.40680000"
10102018 1200,"57.98000000","58.07000000","57.80000000","57.86000000","5223.30860000"
10102018 1300,"57.88000000","58.06000000","57.81000000","58.02000000","5446.36449000"
10102018 1400,"58.02000000","58.39000000","57.96000000","58.17000000","8240.31993000"
10102018 1500,"58.22000000","58.28000000","58.02000000","58.11000000","6036.73701000"
10102018 1600,"58.10000000","58.14000000","57.96000000","58.01000000","6495.33873000"
10102018 1700,"58.02000000","58.14000000","57.81000000","57.82000000","5987.09070000"
